SibeliusInstrumentName,InstrumentTypeIdentifier,HumdrumInstrumentCode,Notes:
Alp-Horn in F,instrument.brass.alp-horn.f,,
Alp-Horn in G,instrument.brass.alp-horn.g,,
Baritone Bugle in G,instrument.brass.bugle.baritone.g,,
Contrabass Bugle in G,instrument.brass.bugle.contrabass.g,,
Euphonium Bugle in G,instrument.brass.bugle.euphonium.g,,
Mellophone Bugle in G,instrument.brass.bugle.mellophone.g,,
Soprano Bugle in G,instrument.brass.bugle.soprano.g,,
Cimbasso in Bb,instrument.brass.cimbasso.bflat,,
Cimbasso in Eb,instrument.brass.cimbasso.eflat,,
Cimbasso in F,instrument.brass.cimbasso.f,,
Cornet in A,instrument.brass.cornet.a,,humdrum doesn't have a distinction for Cornet in Bb and Cornet in A. Only *Icornt
Cornet in Bb,instrument.brass.cornet.bflat,,humdrum doesn't have a distinction for Cornet in Bb and Cornet in A. Only *Icornt
Soprano Cornet in Eb,instrument.brass.cornet.soprano.eflat,,humdrum doesn't have a distinction for Cornet in Bb and Cornet in A. Only *Icornt
Euphonium in Bb [treble clef],instrument.brass.euphonium,,
"Euphonium in Bb [bass clef, treble transp.]",instrument.brass.euphonium.bassclef,,
Euphonium in C [bass clef],instrument.brass.euphonium.bassclef.bassclef,,
Euphonium in Bb [bass clef],instrument.brass.euphonium.bflat.bassclef.bassclef,,
Flugelhorn,instrument.brass.flugelhorn,*Iflugh,
Horn in A [no key],instrument.brass.horn.a.nokeysig,,humdrum doesn't have a distinction fo the different Horns. Just *Icor
Horn in Ab alto [no key],instrument.brass.horn.alto.aflat.nokeysig,,humdrum doesn't have a distinction fo the different Horns. Just *Icor
Alto Horn in Eb,instrument.brass.horn.alto.eflat,,humdrum doesn't have a distinction fo the different Horns. Just *Icor
Alto Horn in F,instrument.brass.horn.alto.f,,humdrum doesn't have a distinction fo the different Horns. Just *Icor
Horn in B [no key],instrument.brass.horn.b.nokeysig,,humdrum doesn't have a distinction fo the different Horns. Just *Icor
Baritone in Bb [treble clef],instrument.brass.horn.baritone,,
Baritone in C [treble clef],instrument.brass.horn.baritone.2,,
"Baritone in Bb [bass clef, treble transp.]",instrument.brass.horn.baritone.bassclef,,
Baritone in C [bass clef],instrument.brass.horn.baritone.bassclef.bassclef,,
Bass in Bb,instrument.brass.horn.bass.bflat,,
"Bass in Bb [bass clef, treble transp.]",instrument.brass.horn.bass.bflat.bassclef,,
Bass in C,instrument.brass.horn.bass.c,,
Bass in Eb,instrument.brass.horn.bass.eflat,,
"Bass in Eb [bass clef, treble transp.]",instrument.brass.horn.bass.eflat.bassclef,,
A Basso Horn [no key],instrument.brass.horn.basso.a.nokeysig,,humdrum doesn't have a distinction fo the different Horns. Just *Icor
Bb Basso Horn [no key],instrument.brass.horn.basso.bflat.nokeysig,,humdrum doesn't have a distinction fo the different Horns. Just *Icor
C Basso Horn [no key],instrument.brass.horn.basso.c.nokeysig,,humdrum doesn't have a distinction fo the different Horns. Just *Icor
Horn in Bb [no key],instrument.brass.horn.bflat.nokeysig,,humdrum doesn't have a distinction fo the different Horns. Just *Icor
Horn in C [no key],instrument.brass.horn.c.nokeysig,,humdrum doesn't have a distinction fo the different Horns. Just *Icor
Horn in D [no key],instrument.brass.horn.d.nokeysig,,humdrum doesn't have a distinction fo the different Horns. Just *Icor
Horn in Db [no key],instrument.brass.horn.dflat.nokeysig,,humdrum doesn't have a distinction fo the different Horns. Just *Icor
Horn in E [no key],instrument.brass.horn.e.nokeysig,,humdrum doesn't have a distinction fo the different Horns. Just *Icor
Horn in Eb,instrument.brass.horn.eflat,,humdrum doesn't have a distinction fo the different Horns. Just *Icor
Horn in Eb [no key],instrument.brass.horn.eflat.nokeysig,,humdrum doesn't have a distinction fo the different Horns. Just *Icor
Horn in F,instrument.brass.horn.f,,humdrum doesn't have a distinction fo the different Horns. Just *Icor
Horn in F [bass clef],instrument.brass.horn.f.bassclef,,humdrum doesn't have a distinction fo the different Horns. Just *Icor
Horn in F [no key],instrument.brass.horn.f.nokeysig,,humdrum doesn't have a distinction fo the different Horns. Just *Icor
Horn in F# [no key],instrument.brass.horn.fsharp.nokeysig,,humdrum doesn't have a distinction fo the different Horns. Just *Icor
Horn in G [no key],instrument.brass.horn.g.nokeysig,,humdrum doesn't have a distinction fo the different Horns. Just *Icor
Tenor Horn,instrument.brass.horn.tenor,,humdrum doesn't have a distinction fo the different Horns. Just *Icor
Mellophone in Eb,instrument.brass.mellophone.eflat,,
Mellophone in F,instrument.brass.mellophone.f,,
Mellophonium in Eb,instrument.brass.mellophonium.eflat,,
Mellophonium in F,instrument.brass.mellophonium.f,,
Ophicleide,instrument.brass.ophicleide,,
Brass,instrument.brass.section,,
Serpent,instrument.brass.serpent,,
Sousaphone in Bb,instrument.brass.sousaphone.bflat,,
Sousaphone in Eb,instrument.brass.sousaphone.eflat,,
Trombone,instrument.brass.trombone,,
Alto Trombone,instrument.brass.trombone.alto,,
Bass Trombone,instrument.brass.trombone.bass,,
"Trombone in Bb [bass clef, treble transp.]",instrument.brass.trombone.bassclef.trebleclef,,
Contrabass Trombone,instrument.brass.trombone.contrabass,,
Tenor Trombone,instrument.brass.trombone.tenor,,
Trombone in Bb [treble clef],instrument.brass.trombone.trebleclef,,
Trumpet in A,instrument.brass.trumpet.a,,
Trumpet in B [no key],instrument.brass.trumpet.b.nokeysig,,
Bass Trumpet in Bb,instrument.brass.trumpet.bass.bflat,,
Bass Trumpet in Eb,instrument.brass.trumpet.bass.eflat,,
Trumpet in Bb,instrument.brass.trumpet.bflat,,
Trumpet in Bb [no key],instrument.brass.trumpet.bflat.nokeysig,,
Trumpet in C,instrument.brass.trumpet.c,,
Trumpet in D,instrument.brass.trumpet.d,,
Trumpet in Db,instrument.brass.trumpet.dflat,,
Trumpet in E [no key],instrument.brass.trumpet.e.nokeysig,,
Trumpet in Eb,instrument.brass.trumpet.eflat,,
Trumpet in F,instrument.brass.trumpet.f,,
Trumpet in G [no key],instrument.brass.trumpet.g.nokeysig,,
Piccolo Trumpet in A,instrument.brass.trumpet.piccolo.a,,
Piccolo Trumpet in Bb,instrument.brass.trumpet.piccolo.bflat,,
Tenor Trumpet in Eb,instrument.brass.trumpet.tenor.eflat,,
Tuba,instrument.brass.tuba,,
Tuba in F,instrument.brass.tuba.f,,
"Tenor Tuba (Wagner, in Bb)",instrument.brass.tuba.tenor,,
Tenor Tuba [bass clef],instrument.brass.tuba.tenor.bassclef,,
Wagner Tuba in Bb,instrument.brass.tuba.wagner.bflat,,
Wagner Tuba in F,instrument.brass.tuba.wagner.f,,
Applause,instrument.exotic.applause,,
Birdsong,instrument.exotic.birdsong,,
Helicopter,instrument.exotic.helicopter,,
Ondes Martenot,instrument.exotic.ondes-martenot,,
Sampler,instrument.exotic.sampler,,
Seashore,instrument.exotic.seashore,,
Tape,instrument.exotic.tape,,
Telephone,instrument.exotic.telephone,,
Theremin,instrument.exotic.theremin,,
Bajo [notation],instrument.fretted.bajo.5lines,,
"Bajo, 6-string [tab]",instrument.fretted.bajo.tab,,
"Bajo, 4-string [tab]",instrument.fretted.bajo.tab.4lines,,
"Bajo, 5-string [tab]",instrument.fretted.bajo.tab.5lines,,
Alto Balalaika [notation],instrument.fretted.balalaika.alto.5lines,,
Alto Balalaika [tab],instrument.fretted.balalaika.alto.tab,,
Bass Balalaika [notation],instrument.fretted.balalaika.bass.5lines,,
Bass Balalaika [tab],instrument.fretted.balalaika.bass.tab,,
Contrabass Balalaika [notation],instrument.fretted.balalaika.contrabass.5lines,,
Contrabass Balalaika [tab],instrument.fretted.balalaika.contrabass.tab,,
Prima Balalaika [notation],instrument.fretted.balalaika.prima.5lines,,
Prima Balalaika [tab],instrument.fretted.balalaika.prima.tab,,
Second Balalaika [notation],instrument.fretted.balalaika.second.5lines,,
Second Balalaika [tab],instrument.fretted.balalaika.second.tab,,
Bandola [notation],instrument.fretted.bandola.5lines,,
Bandola [tab],instrument.fretted.bandola.tab,,
Bandolón [notation],instrument.fretted.bandolon.5lines,,
Bandolón [tab],instrument.fretted.bandolon.tab,,
Bandurria [notation],instrument.fretted.bandurria.5lines,,
Bandurria [tab],instrument.fretted.bandurria.tab,,
Banjo [notation],instrument.fretted.banjo.5lines,,
Banjo (aDADE tuning) [tab],instrument.fretted.banjo.aDADE.tab,,
Banjo (aEADE tuning) [tab],instrument.fretted.banjo.aEADE.tab,,
Banjo (gCGBD tuning) [tab],instrument.fretted.banjo.gCGBD.tab,,
Banjo (gCGCD tuning) [tab],instrument.fretted.banjo.gCGCD.tab,,
Banjo (gDF#AD tuning) [tab],instrument.fretted.banjo.gDFAD.tab,,
Banjo (gDGBD tuning) [tab],instrument.fretted.banjo.gDGBD.tab,,
Banjo (gDGCD tuning) [tab],instrument.fretted.banjo.gDGCD.tab,,
Tenor Banjo [notation],instrument.fretted.banjo.tenor.5lines,,
Tenor Banjo [tab],instrument.fretted.banjo.tenor.tab,,
Bordonúa [notation],instrument.fretted.bordonua.5lines,,
Bordonúa [tab],instrument.fretted.bordonua.tab,,
Cavaquinho [notation],instrument.fretted.cavaquinho.5lines,,
Cavaquinho [tab],instrument.fretted.cavaquinho.tab,,
Charango [notation],instrument.fretted.charango.5lines,,
Charango [tab],instrument.fretted.charango.tab,,
Cuatro [notation],instrument.fretted.cuatro.5lines,,
"Cuatro, Puerto Rico [tab]",instrument.fretted.cuatro.puerto-rico.tab,,
"Cuatro, Venezuela [tab]",instrument.fretted.cuatro.venezuela.tab,,
Resonator guitar [notation],instrument.fretted.guitar.resonator.5lines,,
"Resonator Guitar, A6 tuning [tab]",instrument.fretted.guitar.resonator.a6.tab,,
"Resonator Guitar, B11 tuning [tab]",instrument.fretted.guitar.resonator.b11.tab,,
"Resonator Guitar, C#m tuning [tab]",instrument.fretted.guitar.resonator.c#m.tab,,
"Resonator Guitar, C6+A7 tuning [tab]",instrument.fretted.guitar.resonator.c6-a7.tab,,
"Resonator Guitar, C6 + high G tuning [tab]",instrument.fretted.guitar.resonator.c6-highg.tab,,
"Resonator Guitar, standard tuning [tab]",instrument.fretted.guitar.resonator.c6.tab,,
"Resonator Guitar, C#m7 tuning [tab]",instrument.fretted.guitar.resonator.cm7.tab,,
"Resonator Guitar, E13 Hawaiian tuning [tab]",instrument.fretted.guitar.resonator.e13-hawaiian.tab,,
"Resonator Guitar, E13 Western tuning [tab]",instrument.fretted.guitar.resonator.e13-western.tab,,
"Resonator Guitar, open A tuning [tab]",instrument.fretted.guitar.resonator.open.A.tab,,
"Resonator Guitar, open G tuning [tab]",instrument.fretted.guitar.resonator.open.G.tab,,
Dulcimer,instrument.fretted.dulcimer,,
Dulcimer [notation],instrument.fretted.dulcimer.5lines,,
Dulcimer (DAA tuning) [tab],instrument.fretted.dulcimer.daa.tab,,
Dulcimer (DAD tuning) [tab],instrument.fretted.dulcimer.dad.tab,,
Gamba [notation],instrument.fretted.gamba.5lines,,
Gamba [tab],instrument.fretted.gamba.tab,,
12-string Acoustic Guitar [notation],instrument.fretted.guitar.12-string.5lines,,
"12-string Acoustic Guitar, DADGAD tuning [tab]",instrument.fretted.guitar.12-string.dadgad.tab,,
"12-string Acoustic Guitar, double D tuning [tab]",instrument.fretted.guitar.12-string.double-d.tab,,
"12-string Acoustic Guitar, dropped D tuning [tab]",instrument.fretted.guitar.12-string.dropped-d.tab,,
"12-string Acoustic Guitar, open D tuning [tab]",instrument.fretted.guitar.12-string.open-d.tab,,
"12-string Acoustic Guitar, open E tuning [tab]",instrument.fretted.guitar.12-string.open-e.tab,,
"12-string Acoustic Guitar, open G tuning [tab]",instrument.fretted.guitar.12-string.open-g.tab,,
"12-string Acoustic Guitar, standard tuning (no rhythms) [tab]",instrument.fretted.guitar.12-string.tab,,
"12-string Acoustic Guitar, standard tuning [tab]",instrument.fretted.guitar.12-string.tab.rhythms,,
Acoustic Guitar [notation],instrument.fretted.guitar.acoustic.5lines,,
"Acoustic Guitar, DADGAD tuning [tab]",instrument.fretted.guitar.acoustic.dadgad.tab,,
"Acoustic Guitar, double D tuning [tab]",instrument.fretted.guitar.acoustic.double-d.tab,,
"Acoustic Guitar, dropped D tuning [tab]",instrument.fretted.guitar.acoustic.dropped-d.tab,,
"Acoustic Guitar, modal D tuning [tab]",instrument.fretted.guitar.acoustic.modal-d.tab,,
"Acoustic Guitar, Nashville tuning [tab]",instrument.fretted.guitar.acoustic.nashville.tab,,
"Acoustic Guitar, open A tuning [tab]",instrument.fretted.guitar.acoustic.open-a.tab,,
"Acoustic Guitar, open C tuning [tab]",instrument.fretted.guitar.acoustic.open-c.tab,,
"Acoustic Guitar, open D tuning [tab]",instrument.fretted.guitar.acoustic.open-d.tab,,
"Acoustic Guitar, open Dm cross-note tuning [tab]",instrument.fretted.guitar.acoustic.open-dm.tab,,
"Acoustic Guitar, open E tuning [tab]",instrument.fretted.guitar.acoustic.open-e.tab,,
"Acoustic Guitar, open G tuning [tab]",instrument.fretted.guitar.acoustic.open-g.tab,,
"Acoustic Guitar, standard tuning (no rhythms) [tab]",instrument.fretted.guitar.acoustic.tab,,
"Acoustic Guitar, standard tuning [tab]",instrument.fretted.guitar.acoustic.tab.rhythms,,
4-string Bass Guitar [notation],instrument.fretted.guitar.bass.4-string.5lines,,
4-string Bass Guitar [tab],instrument.fretted.guitar.bass.4-string.tab,,
5-string Bass Guitar [notation],instrument.fretted.guitar.bass.5-string.5lines,,
5-string Bass Guitar [tab],instrument.fretted.guitar.bass.5-string.tab,,
Bass Guitar [notation],instrument.fretted.guitar.bass.5lines,,
6-string Bass Guitar [notation],instrument.fretted.guitar.bass.6-string.5lines,,
6-string Bass Guitar [tab],instrument.fretted.guitar.bass.6-string.tab,,
Acoustic Bass [notation],instrument.fretted.guitar.bass.acoustic.5lines,,
Acoustic Bass [tab],instrument.fretted.guitar.bass.acoustic.tab,,
5-string Electric Bass [notation],instrument.fretted.guitar.bass.electric.5-string.5lines,,
5-string Electric Bass [tab],instrument.fretted.guitar.bass.electric.5-string.tab,,
Electric Bass [notation],instrument.fretted.guitar.bass.electric.5lines,,
6-string Electric Bass [notation],instrument.fretted.guitar.bass.electric.6-string.5lines,,
6-string Electric Bass [tab],instrument.fretted.guitar.bass.electric.6-string.tab,,
5-string Fretless Electric Bass,instrument.fretted.guitar.bass.electric.fretless.5-string.5lines,,
5-string Fretless Electric Bass [tab],instrument.fretted.guitar.bass.electric.fretless.5-string.tab,,
Fretless Electric Bass [notation],instrument.fretted.guitar.bass.electric.fretless.5lines,,
6-string Fretless Electric Bass,instrument.fretted.guitar.bass.electric.fretless.6-string.5lines,,
6-string Fretless Electric Bass [tab],instrument.fretted.guitar.bass.electric.fretless.6-string.tab,,
Fretless Electric Bass [tab],instrument.fretted.guitar.bass.electric.fretless.tab,,
Electric Bass [tab],instrument.fretted.guitar.bass.electric.tab,,
5-string Fretless Bass Guitar [notation],instrument.fretted.guitar.bass.fretless.5-string.5lines,,
5-string Fretless Bass Guitar [tab],instrument.fretted.guitar.bass.fretless.5-string.tab,,
Fretless Bass Guitar [notation],instrument.fretted.guitar.bass.fretless.5lines,,
6-string Fretless Bass Guitar [notation],instrument.fretted.guitar.bass.fretless.6-string.5lines,,
6-string Fretless Bass Guitar [tab],instrument.fretted.guitar.bass.fretless.6-string.tab,,
Fretless Bass Guitar [tab],instrument.fretted.guitar.bass.fretless.tab,,
Semi-Acoustic Bass [notation],instrument.fretted.guitar.bass.semi-acoustic.5lines,,
Semi-Acoustic Bass [tab],instrument.fretted.guitar.bass.semi-acoustic.tab,,
Bass Guitar [tab],instrument.fretted.guitar.bass.tab,,
"Bass Guitar [tab, with rhythms]",instrument.fretted.guitar.bass.tab.rhythms,,
Classical Guitar [notation],instrument.fretted.guitar.classical.5lines,,
"Classical Guitar, DADGAD tuning [tab]",instrument.fretted.guitar.classical.dadgad.tab,,
"Classical Guitar, double D tuning [tab]",instrument.fretted.guitar.classical.double-d.tab,,
"Classical Guitar, dropped D tuning [tab]",instrument.fretted.guitar.classical.dropped-d.tab,,
"Classical Guitar, open D tuning [tab]",instrument.fretted.guitar.classical.open-d.tab,,
"Classical Guitar, open E tuning [tab]",instrument.fretted.guitar.classical.open-e.tab,,
"Classical Guitar, open G tuning [tab]",instrument.fretted.guitar.classical.open-g.tab,,
"Classical Guitar, standard tuning (no rhythms) [tab]",instrument.fretted.guitar.classical.tab,,
"Classical Guitar, standard tuning [tab]",instrument.fretted.guitar.classical.tab.rhythms,,
Electric Guitar [notation],instrument.fretted.guitar.electric.5lines,,
"7-string Electric Guitar, low A tuning [tab]",instrument.fretted.guitar.electric.7-string.low-a.tab,,
"7-string Electric Guitar, low B tuning [tab]",instrument.fretted.guitar.electric.7-string.tab,,
"Electric Guitar, DADGAD tuning [tab]",instrument.fretted.guitar.electric.dadgad.tab,,
"Electric Guitar, double D tuning [tab]",instrument.fretted.guitar.electric.double-d.tab,,
"Electric Guitar, dropped D tuning [tab]",instrument.fretted.guitar.electric.dropped-d.tab,,
"Electric Guitar, open D tuning [tab]",instrument.fretted.guitar.electric.open-d.tab,,
"Electric Guitar, open E tuning [tab]",instrument.fretted.guitar.electric.open-e.tab,,
"Electric Guitar, open G tuning [tab]",instrument.fretted.guitar.electric.open-g.tab,,
"Electric Guitar, standard tuning (no rhythms) [tab]",instrument.fretted.guitar.electric.tab,,
"Electric Guitar, standard tuning [tab]",instrument.fretted.guitar.electric.tab.rhythms,,
Kora,instrument.fretted.guitar.kora,,
Semi-acoustic Guitar [notation],instrument.fretted.guitar.semi-acoustic.5lines,,
"Semi-acoustic Guitar, DADGAD tuning [tab]",instrument.fretted.guitar.semi-acoustic.dadgad.tab,,
"Semi-acoustic Guitar, double D tuning [tab]",instrument.fretted.guitar.semi-acoustic.double-d.tab,,
"Semi-acoustic Guitar, dropped D tuning [tab]",instrument.fretted.guitar.semi-acoustic.dropped-d.tab,,
"Semi-acoustic Guitar, open D tuning [tab]",instrument.fretted.guitar.semi-acoustic.open-d.tab,,
"Semi-acoustic Guitar, open E tuning [tab]",instrument.fretted.guitar.semi-acoustic.open-e.tab,,
"Semi-acoustic Guitar, open G tuning [tab]",instrument.fretted.guitar.semi-acoustic.open-g.tab,,
"Semi-acoustic Guitar, standard tuning (no rhythms) [tab]",instrument.fretted.guitar.semi-acoustic.tab,,
"Semi-acoustic Guitar, standard tuning [tab]",instrument.fretted.guitar.semi-acoustic.tab.rhythms,,
10-string Hawaiian Steel Guitar [tab],instrument.fretted.guitar.steel.hawaiian.10-string.tab,,
Hawaiian Steel Guitar [notation],instrument.fretted.guitar.steel.hawaiian.5lines,,
"6-string Hawaiian Steel Guitar, standard tuning [tab]",instrument.fretted.guitar.steel.hawaiian.6-string.tab,,
"6-string Hawaiian Steel Guitar, alternate tuning [tab]",instrument.fretted.guitar.steel.hawaiian.6-string.tab.alternative,,
"6-string Hawaiian Steel Guitar, slack key Bb Mauna Loa tuning [tab]",instrument.fretted.guitar.steel.hawaiian.6-string.tab.bflat.mauna.loa,,
"6-string Hawaiian Steel Guitar, slack key C Mauna Loa tuning [tab]",instrument.fretted.guitar.steel.hawaiian.6-string.tab.c.mauna.loa,,
"6-string Hawaiian Steel Guitar, slack key Wahine CGDGBD tuning [tab]",instrument.fretted.guitar.steel.hawaiian.6-string.tab.cgdgbd.wahine,,
"6-string Hawaiian Steel Guitar, slack key Wahine CGDGBE tuning [tab]",instrument.fretted.guitar.steel.hawaiian.6-string.tab.cgdgbe.wahine,,
"6-string Hawaiian Steel Guitar, slack key Wahine DGDF#BD tuning [tab]",instrument.fretted.guitar.steel.hawaiian.6-string.tab.dgdfbd.wahine,,
"6-string Hawaiian Steel Guitar, slack key G Mauna Loa tuning [tab]",instrument.fretted.guitar.steel.hawaiian.6-string.tab.g.mauna.loa,,
"6-string Hawaiian Steel Guitar, slack key G Taro Patch tuning [tab]",instrument.fretted.guitar.steel.hawaiian.6-string.tab.g.taro.patch,,
"6-string Hawaiian Steel Guitar, slack key Wahine GCDGBE tuning [tab]",instrument.fretted.guitar.steel.hawaiian.6-string.tab.gcdgbe.wahine,,
8-string Hawaiian Steel Guitar [tab],instrument.fretted.guitar.steel.hawaiian.8-string.tab,,
"8-string Hawaiian Steel Guitar, alternate tuning [tab]",instrument.fretted.guitar.steel.hawaiian.8-string.tab.alternative,,
Hawaiian Steel Guitar [tab],instrument.fretted.guitar.steel.hawaiian.tab,,
Pedal Steel Guitar [notation],instrument.fretted.guitar.steel.pedal.5lines,,
Pedal Steel Guitar [tab],instrument.fretted.guitar.steel.pedal.tab,,
Guitarra [notation],instrument.fretted.guitarra.5lines,,
"Guitarra, Coimbra [tab]",instrument.fretted.guitarra.coimbra.tab,,
"Guitarra, Lisboa [tab]",instrument.fretted.guitarra.lisboa.tab,,
"Guitarra, Portuguesa [tab]",instrument.fretted.guitarra.portuguesa.tab,,
Guitarrón [notation],instrument.fretted.guitarron.5lines,,
Guitarrón [tab],instrument.fretted.guitarron.tab,,
Laúd [notation],instrument.fretted.laud.5lines,,
Laúd [tab],instrument.fretted.laud.tab,,
Tenor Lute [notation],instrument.fretted.lute.5lines,,
Bass Lute [notation],instrument.fretted.lute.bass-d.french.english.5lines,,
"Bass Lute, D tuning, French/English [tab]",instrument.fretted.lute.bass-d.french.english.tab,,
